title,video_url,views_compact,video_age
1920's.. what would you ACTUALLY look like?! | NikkieTutorials,https://www.youtube.com/watch?v=qFVaNwsaFl0,76K views,3 hours ago
Random Color Generator Makeup Challenge! | NikkieTutorials,https://www.youtube.com/watch?v=U6mZCPDZQ-Y,562K views,3 weeks ago
Finally Answering Questions I've Been Avoiding... | NikkieTutorials,https://www.youtube.com/watch?v=ysF1OH5tieM,796K views,1 month ago
TOP VIRAL Makeup Trends You NEED To Try In 2022! | NikkieTutorials,https://www.youtube.com/watch?v=KXSt1VN0QY8,755K views,1 month ago
My Final Video... | NikkieTutorials,https://www.youtube.com/watch?v=l8ato4vmbww,1.2M views,2 months ago
My FIANCE & I do a CRAZY challenge! | NikkieTutorials,https://www.youtube.com/watch?v=DHl2DEgotkI,638K views,2 months ago
Reacting to working with ADELE! Let’s Talk! | NikkieTutorials,https://www.youtube.com/watch?v=mQJ32Sd9nNQ,901K views,3 months ago
POWER OF MAKEUP: Adele! | NikkieTutorials,https://www.youtube.com/watch?v=qY3L1bPNBAw,11M views,3 months ago
"Ariana Grande, don't hate me... R.E.M Beauty Review! | NikkieTutorials",https://www.youtube.com/watch?v=-qn_cTHvfOY,3.2M views,3 months ago
Doing LITTLE MIX Jade's Makeup! | NikkieTutorials,https://www.youtube.com/watch?v=cQRowTfB7us,2.1M views,4 months ago
Full Face Using Only EYESHADOWS! | NikkieTutorials,https://www.youtube.com/watch?v=knJlm38jY-E,1M views,4 months ago
Getting My Own WAX FIGURE At Madame Tussauds! | NikkieTutorials,https://www.youtube.com/watch?v=bUlMTcX2vPo,1.2M views,5 months ago
NikkieTutorials Gets Ready For The Met Gala | Vogue,https://www.youtube.com/watch?v=DDOL5gJ4tIM,1.2M views,5 months ago
Getting Glam With MEGAN THEE STALLION! | NikkieTutorials,https://www.youtube.com/watch?v=zTJn1x2oZWA,2.5M views,6 months ago
I AM LAUNCHING MY OWN BRAND - Nimya by NikkieTutorials!,https://www.youtube.com/watch?v=EVRIgx7Qv6c,1.4M views,6 months ago
Get Glam With IGGY AZALEA & Me! | NikkieTutorials,https://www.youtube.com/watch?v=E3eTANznVhw,814K views,6 months ago
Full Face Of VIRAL TikTok Makeup Trends Part 2! | NikkieTutorials,https://www.youtube.com/watch?v=04TNJ_WSvlA,1M views,7 months ago
I Dyed My Hair... | NikkieTutorials,https://www.youtube.com/watch?v=cc8KHNrM82I,1.1M views,7 months ago
Kylie Jenner.. we need to talk! | NikkieTutorials,https://www.youtube.com/watch?v=Xtth0XW6fqE,3.5M views,7 months ago
ROULETTE Makeup Challenge! OMG! | NikkieTutorials,https://www.youtube.com/watch?v=zXUJrsEANYI,813K views,7 months ago
Coming Out In High School… | NikkieTutorials,https://www.youtube.com/watch?v=M2LVitA1b8U,834K views,8 months ago
Doing MÅNESKIN's Makeup! Eurovision 2021 Winner | NikkieTutorials,https://www.youtube.com/watch?v=jwajqMdovyI,5.8M views,9 months ago
CRAZY What’s In The Box Challenge | NikkieTutorials,https://www.youtube.com/watch?v=3_S6fG0bw5g,739K views,9 months ago
We have a lot to talk about... | NikkieTutorials,https://www.youtube.com/watch?v=vK9KHWqb-6Q,1.4M views,9 months ago
CRAZY DRAG TRANSFORMATION! ft. GottMik | NikkieTutorials,https://www.youtube.com/watch?v=aHv5ogPJ4dQ,1M views,10 months ago
Becoming A Princess For A Day! | NikkieTutorials,https://www.youtube.com/watch?v=AN1OSHxzIDA,848K views,11 months ago
Trying a $400 MASK?! I’m scared… | NikkieTutorials,https://www.youtube.com/watch?v=g72YKjy4vgI,2.2M views,11 months ago
Full Face Of VIRAL TikTok Makeup Trends! | NikkieTutorials,https://www.youtube.com/watch?v=A_5-fED2A0Y,3.1M views,11 months ago
Guess The GURU Challenge! OMG! | NikkieTutorials,https://www.youtube.com/watch?v=XvbWC79HbL0,1.5M views,1 year ago
Halsey Collab Canceled?... ABOUT-FACE Review! | NikkieTutorials,https://www.youtube.com/watch?v=JTepjBGLSok,1.6M views,1 year ago
James Charles.. it's time to talk! 😤 | NikkieTutorials,https://www.youtube.com/watch?v=PqnsazZyFv0,3.9M views,1 year ago
2020 was a NIGHTMARE + Predicting 2021 | NikkieTutorials,https://www.youtube.com/watch?v=AH27eCaiDjA,1.2M views,1 year ago
Finally Revealing My Secret | NikkieTutorials: Layers Of Me,https://www.youtube.com/watch?v=qlk7Fmh2GOI&pp=sAQB,,1 year ago
Losing My Little Brother | NikkieTutorials: Layers Of Me,https://www.youtube.com/watch?v=o2-CIHOyQJ0&pp=sAQB,,1 year ago
The Pressure To Perform | NikkieTutorials: Layers Of Me,https://www.youtube.com/watch?v=Z66e9pkfQlE&pp=sAQB,,1 year ago
Peeling Back The Past | NikkieTutorials: Layers Of Me,https://www.youtube.com/watch?v=Nx1Jp2U23PM&pp=sAQB,4.4M views,1 year ago
NikkieTutorials: Layers Of Me | Official Trailer,https://www.youtube.com/watch?v=LMYhnC1sVXY&pp=sAQB,13M views,1 year ago
My Facetune SECRETS Exposed! | NikkieTutorials,https://www.youtube.com/watch?v=CW2iRNYGf90,1.3M views,1 year ago
Kylie Will Hate Me For This… KYLIE X GRINCH REVIEW | NikkieTutorials,https://www.youtube.com/watch?v=OsCYmnzE1y4,4.2M views,1 year ago
"AMONG US Picks My Makeup! ft. ""Nicki Minaj"" & ""Ariana Grande""?! | NikkieTutorials",https://www.youtube.com/watch?v=nWxCmcdOpCY,1.4M views,1 year ago
Addressing TEA With Lauren Conrad ft. JAMES CHARLES! | NikkieTutorials,https://www.youtube.com/watch?v=YkDiQ8Wgdy8,958K views,1 year ago
FEMINIZING Makeup Hacks - Transgender Tutorial | NikkieTutorials,https://www.youtube.com/watch?v=gUl-WHAL9qo,2.1M views,1 year ago
Full Face Of WORST Makeup Tips EVER! | NikkieTutorials,https://www.youtube.com/watch?v=mazvbLYCgbA,3.3M views,1 year ago
World's SCARIEST Halloween Look EVER! | NikkieTutorials,https://www.youtube.com/watch?v=Jf2nyYtmwOE,947K views,1 year ago
Get Glam With MADDIE ZIEGLER & Me! | NikkieTutorials,https://www.youtube.com/watch?v=Nxykh6ZT1oc,1.5M views,1 year ago
BLINDFOLDED Online Makeup Challenge With My Fiance! | NikkieTutorials,https://www.youtube.com/watch?v=Hm0Sy5AOmpg,1.5M views,1 year ago
ONE DIP Makeup Challenge! OMG! | NikkieTutorials,https://www.youtube.com/watch?v=CA18hTShwpk,3.6M views,1 year ago
What I Didn't Tell You About My Palette... | NikkieTutorials,https://www.youtube.com/watch?v=_m9fgOQe7hQ,1.3M views,1 year ago
Get Glam With SELENA GOMEZ & Me! | NikkieTutorials,https://www.youtube.com/watch?v=GUJqRkBEEY4,12M views,1 year ago
MY OWN PALETTE! NikkieTutorials x BEAUTY BAY  REVEAL!,https://www.youtube.com/watch?v=MZI1BxXbhss,2.2M views,1 year ago
SCAMMERS Used Me To Advertise FAKE MAKEUP! | NikkieTutorials,https://www.youtube.com/watch?v=eIBzxJKapaY,1.9M views,1 year ago
Letting you know I'm okay... Makeup Therapy | NikkieTutorials,https://www.youtube.com/watch?v=mkF7Ep6gygQ,2.7M views,1 year ago
My MOST AWKWARD Celebrity Encounters EVER! | NikkieTutorials,https://www.youtube.com/watch?v=ITettzNFcyM,1.7M views,1 year ago
Testing PATRICK STARRR One/Size Beauty! THE TRUTH! | NikkieTutorials,https://www.youtube.com/watch?v=INhzgtqdEsc,1.1M views,1 year ago
DMing Celebrities To Pick My Makeup Routine! | NikkieTutorials,https://www.youtube.com/watch?v=Lc7nG3imufc,3.5M views,1 year ago
SHEA COULEÉ Transforms Me Into NIKKIE COULEÉ! | NikkieTutorials,https://www.youtube.com/watch?v=nGuEwEbXKRE,1M views,1 year ago
CONFRONTING James Charles Why He REJECTED ME! 😉 | NikkieTutorials,https://www.youtube.com/watch?v=IZJWcYJ5-AI,3M views,1 year ago
Getting READY With SOFIA CARSON! | NikkieTutorials,https://www.youtube.com/watch?v=1j5ekKdBlS0,1.1M views,1 year ago
WHO KNOWS ME BETTER?! Fiance vs. Best Friend! | NikkieTutorials,https://www.youtube.com/watch?v=kexEqg3rcSQ,1.6M views,1 year ago
I Wasn't Accepted By My Entire Family... PRIDE with NikkieTutorials,https://www.youtube.com/watch?v=6ob009jux_I,2.2M views,1 year ago
CRYSTAL METHYD Transforms Me Into NIKKIE METHYD! | NikkieTutorials,https://www.youtube.com/watch?v=O9y2E4x4nvs,1.6M views,1 year ago
Applying ALL My 171(!!) PALETTES To My Face! OMG! | NikkieTutorials,https://www.youtube.com/watch?v=fUaAdLJT080,4.8M views,1 year ago
Full Face Using ONLY Black-Owned Makeup Brands | NikkieTutorials,https://www.youtube.com/watch?v=UDxBkY4IlSc,1.7M views,1 year ago
